Algorithm Category,Algorithm Name,Dataset Name,Dataset Size,Run Index,Warmup,Time (s),Comparisons,Swaps/Moves,Auxiliary Elements,Status,Error Detail
Counting Sort,counting_sort_stable,few_unique_int,100000,1,False,0.11250210199796129,0.0,2299501.0,1099751.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100000,3,False,0.11391659700166201,0.0,2299501.0,1099751.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,10000,3,False,0.008030015997064766,0.0,119993.0,109993.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100000,0,False,0.10026824299711734,0.0,1199995.0,1099995.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100000,-1,True,0.10664439299580408,0.0,1199995.0,1099995.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100000,2,False,0.09777952500007814,0.0,1199995.0,1099995.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100000,1,False,0.10748782599694096,0.0,1199995.0,1099995.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100000,3,False,0.09880319800140569,0.0,1199995.0,1099995.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000000,-1,True,0.9601139209989924,0.0,22999969.0,10999985.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,100,-1,True,0.00010441999620525166,0.0,1193.0,1093.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,100,0,False,9.46200016187504e-05,0.0,1193.0,1093.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,100,1,False,0.00010201999975834042,0.0,1193.0,1093.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,100,2,False,9.186100214719772e-05,0.0,1193.0,1093.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,100,3,False,9.200999920722097e-05,0.0,1193.0,1093.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,1000,-1,True,0.0009611729983589612,0.0,11987.0,10987.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,1000,0,False,0.0009631430002627894,0.0,11987.0,10987.0,OK,
Counting Sort,counting_sort_unstable,sorted_int,1000,1,False,0.0009557639932609163,0.0,11987.0,10987.0,OK,
